"","total","expected","hits","Raw p","Holm p","FDR","cluster","sample","pathway"
"1",58,0.34,2,0.0408,1,1,0,"metab&glycan","Warburg Effect"
"2",9,0.0527,1,0.0517,1,1,0,"metab&glycan","De Novo Triacylglycerol Biosynthesis"
"3",11,0.0645,1,0.0629,1,1,0,"metab&glycan","Glycerol Phosphate Shuttle"
"4",11,0.0645,1,0.0629,1,1,0,"metab&glycan","Cardiolipin Biosynthesis"
"5",74,0.434,2,0.0639,1,1,0,"metab&glycan","Purine Metabolism"
"6",19,0.111,1,0.107,1,1,0,"metab&glycan","Mitochondrial Electron Transport Chain"
"7",20,0.117,1,0.112,1,1,0,"metab&glycan","Nucleotide Sugars Metabolism"
"8",22,0.129,1,0.122,1,1,0,"metab&glycan","Transfer of Acetyl Groups into Mitochondria"
"9",25,0.146,1,0.138,1,1,0,"metab&glycan","Glycerolipid Metabolism"
"10",25,0.146,1,0.138,1,1,0,"metab&glycan","Glycolysis"
"11",26,0.152,1,0.143,1,1,0,"metab&glycan","Inositol Phosphate Metabolism"
"12",29,0.17,1,0.159,1,1,0,"metab&glycan","Phospholipid Biosynthesis"
"13",29,0.17,1,0.159,1,1,0,"metab&glycan","Pentose Phosphate Pathway"
"14",31,0.182,1,0.169,1,1,0,"metab&glycan","Starch and Sucrose Metabolism"
"15",32,0.188,1,0.174,1,1,0,"metab&glycan","Citric Acid Cycle"
"16",33,0.193,1,0.179,1,1,0,"metab&glycan","Inositol Metabolism"
"17",35,0.205,1,0.189,1,1,0,"metab&glycan","Aspartate Metabolism"
"18",35,0.205,1,0.189,1,1,0,"metab&glycan","Gluconeogenesis"
"19",38,0.223,1,0.203,1,1,0,"metab&glycan","Galactose Metabolism"
"20",48,0.281,1,0.251,1,1,0,"metab&glycan","Pyruvate Metabolism"
"21",31,0.0908,2,0.00261,0.256,0.256,3,"metab&glycan","Starch and Sucrose Metabolism"
"22",20,0.0586,1,0.0575,1,1,3,"metab&glycan","Nucleotide Sugars Metabolism"
"23",25,0.0732,1,0.0715,1,1,3,"metab&glycan","Glycolysis"
"24",26,0.0762,1,0.0743,1,1,3,"metab&glycan","Inositol Phosphate Metabolism"
"25",29,0.085,1,0.0827,1,1,3,"metab&glycan","Pentose Phosphate Pathway"
"26",33,0.0967,1,0.0937,1,1,3,"metab&glycan","Inositol Metabolism"
"27",35,0.103,1,0.0992,1,1,3,"metab&glycan","Gluconeogenesis"
"28",38,0.111,1,0.107,1,1,3,"metab&glycan","Galactose Metabolism"
"29",58,0.17,1,0.161,1,1,3,"metab&glycan","Warburg Effect"
"30",74,0.217,1,0.202,1,1,3,"metab&glycan","Purine Metabolism"
"31",31,0.0908,2,0.00261,0.256,0.256,6,"metab&glycan","Starch and Sucrose Metabolism"
"32",20,0.0586,1,0.0575,1,1,6,"metab&glycan","Nucleotide Sugars Metabolism"
"33",25,0.0732,1,0.0715,1,1,6,"metab&glycan","Glycolysis"
"34",26,0.0762,1,0.0743,1,1,6,"metab&glycan","Inositol Phosphate Metabolism"
"35",29,0.085,1,0.0827,1,1,6,"metab&glycan","Pentose Phosphate Pathway"
"36",33,0.0967,1,0.0937,1,1,6,"metab&glycan","Inositol Metabolism"
"37",35,0.103,1,0.0992,1,1,6,"metab&glycan","Gluconeogenesis"
"38",38,0.111,1,0.107,1,1,6,"metab&glycan","Galactose Metabolism"
"39",58,0.17,1,0.161,1,1,6,"metab&glycan","Warburg Effect"
"40",74,0.217,1,0.202,1,1,6,"metab&glycan","Purine Metabolism"
"41",31,0.0605,2,0.000888,0.087,0.087,7,"metab&glycan","Starch and Sucrose Metabolism"
"42",20,0.0391,1,0.0387,1,0.893,7,"metab&glycan","Nucleotide Sugars Metabolism"
"43",25,0.0488,1,0.0483,1,0.893,7,"metab&glycan","Glycolysis"
"44",26,0.0508,1,0.0502,1,0.893,7,"metab&glycan","Inositol Phosphate Metabolism"
"45",29,0.0566,1,0.0559,1,0.893,7,"metab&glycan","Pentose Phosphate Pathway"
"46",33,0.0645,1,0.0634,1,0.893,7,"metab&glycan","Inositol Metabolism"
"47",35,0.0684,1,0.0672,1,0.893,7,"metab&glycan","Gluconeogenesis"
"48",38,0.0742,1,0.0729,1,0.893,7,"metab&glycan","Galactose Metabolism"
"49",58,0.113,1,0.11,1,1,7,"metab&glycan","Warburg Effect"
"50",9,0.0439,1,0.0433,1,0.871,10,"metab&glycan","De Novo Triacylglycerol Biosynthesis"
"51",74,0.361,2,0.0447,1,0.871,10,"metab&glycan","Purine Metabolism"
"52",11,0.0537,1,0.0527,1,0.871,10,"metab&glycan","Glycerol Phosphate Shuttle"
"53",11,0.0537,1,0.0527,1,0.871,10,"metab&glycan","Cardiolipin Biosynthesis"
"54",19,0.0928,1,0.0896,1,0.871,10,"metab&glycan","Mitochondrial Electron Transport Chain"
"55",20,0.0977,1,0.0941,1,0.871,10,"metab&glycan","Nucleotide Sugars Metabolism"
"56",20,0.0977,1,0.0941,1,0.871,10,"metab&glycan","Catecholamine Biosynthesis"
"57",22,0.107,1,0.103,1,0.871,10,"metab&glycan","Carnitine Synthesis"
"58",25,0.122,1,0.116,1,0.871,10,"metab&glycan","Glycerolipid Metabolism"
"59",25,0.122,1,0.116,1,0.871,10,"metab&glycan","Glycolysis"
"60",26,0.127,1,0.121,1,0.871,10,"metab&glycan","Oxidation of Branched Chain Fatty Acids"
"61",26,0.127,1,0.121,1,0.871,10,"metab&glycan","Phytanic Acid Peroxisomal Oxidation"
"62",26,0.127,1,0.121,1,0.871,10,"metab&glycan","Inositol Phosphate Metabolism"
"63",29,0.142,1,0.134,1,0.871,10,"metab&glycan","Phospholipid Biosynthesis"
"64",29,0.142,1,0.134,1,0.871,10,"metab&glycan","Pentose Phosphate Pathway"
"65",31,0.151,1,0.143,1,0.871,10,"metab&glycan","Starch and Sucrose Metabolism"
"66",33,0.161,1,0.151,1,0.871,10,"metab&glycan","Inositol Metabolism"
"67",35,0.171,1,0.16,1,0.871,10,"metab&glycan","Gluconeogenesis"
"68",38,0.186,1,0.173,1,0.89,10,"metab&glycan","Galactose Metabolism"
"69",58,0.283,1,0.253,1,1,10,"metab&glycan","Warburg Effect"
"70",72,0.352,1,0.306,1,1,10,"metab&glycan","Tyrosine Metabolism"
"71",58,0.283,2,0.0282,1,0.922,13,"metab&glycan","Warburg Effect"
"72",9,0.0439,1,0.0433,1,0.922,13,"metab&glycan","De Novo Triacylglycerol Biosynthesis"
"73",11,0.0537,1,0.0527,1,0.922,13,"metab&glycan","Glycerol Phosphate Shuttle"
"74",11,0.0537,1,0.0527,1,0.922,13,"metab&glycan","Cardiolipin Biosynthesis"
"75",19,0.0928,1,0.0896,1,0.922,13,"metab&glycan","Mitochondrial Electron Transport Chain"
"76",20,0.0977,1,0.0941,1,0.922,13,"metab&glycan","Nucleotide Sugars Metabolism"
"77",22,0.107,1,0.103,1,0.922,13,"metab&glycan","Transfer of Acetyl Groups into Mitochondria"
"78",25,0.122,1,0.116,1,0.922,13,"metab&glycan","Glycerolipid Metabolism"
"79",25,0.122,1,0.116,1,0.922,13,"metab&glycan","Glycolysis"
"80",26,0.127,1,0.121,1,0.922,13,"metab&glycan","Inositol Phosphate Metabolism"
"81",29,0.142,1,0.134,1,0.922,13,"metab&glycan","Phospholipid Biosynthesis"
"82",29,0.142,1,0.134,1,0.922,13,"metab&glycan","Pentose Phosphate Pathway"
"83",31,0.151,1,0.143,1,0.922,13,"metab&glycan","Starch and Sucrose Metabolism"
"84",32,0.156,1,0.147,1,0.922,13,"metab&glycan","Citric Acid Cycle"
"85",33,0.161,1,0.151,1,0.922,13,"metab&glycan","Inositol Metabolism"
"86",35,0.171,1,0.16,1,0.922,13,"metab&glycan","Aspartate Metabolism"
"87",35,0.171,1,0.16,1,0.922,13,"metab&glycan","Gluconeogenesis"
"88",38,0.186,1,0.173,1,0.94,13,"metab&glycan","Galactose Metabolism"
"89",48,0.234,1,0.214,1,1,13,"metab&glycan","Pyruvate Metabolism"
"90",74,0.361,1,0.313,1,1,13,"metab&glycan","Purine Metabolism"
"91",31,0.212,2,0.017,1,1,22,"metab&glycan","Starch and Sucrose Metabolism"
"92",58,0.396,2,0.0551,1,1,22,"metab&glycan","Warburg Effect"
"93",9,0.0615,1,0.0601,1,1,22,"metab&glycan","De Novo Triacylglycerol Biosynthesis"
"94",11,0.0752,1,0.073,1,1,22,"metab&glycan","Glycerol Phosphate Shuttle"
"95",11,0.0752,1,0.073,1,1,22,"metab&glycan","Cardiolipin Biosynthesis"
"96",74,0.506,2,0.0854,1,1,22,"metab&glycan","Purine Metabolism"
"97",19,0.13,1,0.123,1,1,22,"metab&glycan","Mitochondrial Electron Transport Chain"
"98",20,0.137,1,0.129,1,1,22,"metab&glycan","Nucleotide Sugars Metabolism"
"99",22,0.15,1,0.141,1,1,22,"metab&glycan","Transfer of Acetyl Groups into Mitochondria"
"100",25,0.171,1,0.159,1,1,22,"metab&glycan","Glycerolipid Metabolism"
"101",25,0.171,1,0.159,1,1,22,"metab&glycan","Glycolysis"
"102",26,0.178,1,0.165,1,1,22,"metab&glycan","Inositol Phosphate Metabolism"
"103",29,0.198,1,0.183,1,1,22,"metab&glycan","Phospholipid Biosynthesis"
"104",29,0.198,1,0.183,1,1,22,"metab&glycan","Pentose Phosphate Pathway"
"105",32,0.219,1,0.2,1,1,22,"metab&glycan","Citric Acid Cycle"
"106",33,0.226,1,0.205,1,1,22,"metab&glycan","Inositol Metabolism"
"107",35,0.239,1,0.217,1,1,22,"metab&glycan","Aspartate Metabolism"
"108",35,0.239,1,0.217,1,1,22,"metab&glycan","Gluconeogenesis"
"109",38,0.26,1,0.233,1,1,22,"metab&glycan","Galactose Metabolism"
"110",48,0.328,1,0.286,1,1,22,"metab&glycan","Pyruvate Metabolism"
